City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
317,Kenai,US,60.5544,-151.2583,41.14,89,90,12.66,light rain
318,Zhigansk,RU,66.7697,123.3711,-4.05,98,87,12.62,overcast clouds
319,Kikwit,CD,-5.041,18.8162,75.51,85,72,2.37,light rain
320,Havre,FR,49.5833,0.3333,55.17,71,0,12.66,clear sky
321,Rurrenabaque,BO,-14.4413,-67.5278,99.61,30,7,5.59,clear sky
322,Tateyama,JP,34.9833,139.8667,57.22,57,49,3.56,scattered clouds
323,Kavaratti,IN,10.5669,72.642,82.26,69,98,0.87,overcast clouds
324,Bara,NG,10.3744,10.7288,85.75,27,92,3.85,overcast clouds
325,Korem,ET,12.5058,39.5228,54.32,41,6,5.59,clear sky
326,Tongling,CN,30.95,117.7833,60.15,61,19,3.89,light rain
327,Te Anau,NZ,-45.4167,167.7167,46.53,93,80,7.85,broken clouds
328,Barsovo,RU,61.1667,73.1667,10.53,96,26,3.96,scattered clouds
329,Hakkari,TR,37.5833,44.1667,46.24,88,99,2.39,overcast clouds
330,Turan,VN,16.0678,108.2208,77.05,94,75,3.44,broken clouds
331,Kapit,MY,2.0167,112.9333,74.91,98,100,0.22,overcast clouds
332,Kuminskiy,RU,58.6667,66.5667,26.31,96,100,2.33,light snow
333,Ridgecrest,US,35.6225,-117.6709,70.65,33,1,3.09,clear sky
334,Hervey Bay,AU,-25.2986,152.8535,75.31,86,60,7.56,broken clouds
335,Ketchikan,US,55.3422,-131.6461,37.87,100,40,0.0,scattered clouds
336,Mataram,ID,-8.5833,116.1167,79.61,85,100,4.43,overcast clouds
337,Lazaro Cardenas,MX,17.9583,-102.2,83.77,67,5,0.72,clear sky
338,Craig,US,40.5153,-107.5464,52.79,61,1,0.0,clear sky
339,Nelson Bay,AU,-32.7167,152.15,62.01,72,100,1.99,overcast clouds
340,Tiksi,RU,71.6872,128.8694,-2.87,97,100,6.62,overcast clouds
341,Menongue,AO,-14.6585,17.691,69.42,78,94,3.22,light rain
342,Cape Coast,GH,5.1053,-1.2466,81.01,81,62,13.47,broken clouds
